vector,latency,accuracy,mem
"[0, 0, 0, 0, 1, 3, 1, 1, 0]",0.5249898433685303,0.22286902368068695,2053.1
"[0, 0, 0, 0, 1, 3, 1, 1, 1]",0.5255246162414551,0.8047124147415161,2054.7
"[0, 0, 0, 0, 1, 4, 0, 0, 0]",0.5053977966308594,0.22467082738876343,1981.1
"[0, 0, 0, 0, 1, 4, 0, 0, 1]",0.5183508396148682,0.2292446345090866,2063.9
"[0, 0, 0, 0, 1, 4, 0, 1, 0]",0.5248115062713623,0.22439362108707428,2053.1
"[0, 0, 0, 0, 1, 4, 0, 1, 1]",0.5277292728424072,0.2421344369649887,2070.7
"[0, 0, 0, 0, 1, 4, 1, 0, 0]",0.5755343437194824,0.2152460217475891,2054.7
"[0, 0, 0, 0, 1, 4, 1, 0, 1]",0.5229647159576416,0.22023561596870422,2035.5
"[0, 0, 0, 0, 1, 4, 1, 1, 0]",0.5219078063964844,0.2203742265701294,2000.3
"[0, 0, 0, 0, 1, 4, 1, 1, 1]",0.5335533618927002,0.8110880255699158,1993.4
"[0, 0, 0, 1, 0, 0, 0, 0, 0]",0.48369932174682617,0.21677061915397644,2083.5
"[0, 0, 0, 1, 0, 0, 0, 0, 1]",0.4906003475189209,0.22051282227039337,2112.3
"[0, 0, 0, 1, 0, 0, 0, 1, 0]",0.4737105369567871,0.21898822486400604,2134.7
"[0, 0, 0, 1, 0, 0, 0, 1, 1]",0.49515199661254883,0.23575884103775024,2051.5
"[0, 0, 0, 1, 0, 0, 1, 0, 0]",0.541175365447998,0.22065141797065735,2143.9
"[0, 0, 0, 1, 0, 0, 1, 0, 1]",0.558868408203125,0.23340263962745667,2077.1
"[0, 0, 0, 1, 0, 0, 1, 1, 0]",0.49634528160095215,0.2562716603279114,2143.9
"[0, 0, 0, 1, 0, 0, 1, 1, 1]",0.5008540153503418,0.8931393027305603,2109.5
"[0, 0, 0, 1, 0, 1, 0, 0, 0]",0.5842211246490479,0.22009702026844025,2063.9
