accuracy,latency,memory
24.55734,10.462308,835.1086
40.33759,6.118317,164.52238
32.927567,6.758971,336.18317
40.624866,5.889533,164.10251
40.403923,6.1671195,165.71823
40.73205,5.5560265,159.88394
32.79588,6.6731715,336.8728
31.556944,7.597951,366.74213
40.827076,5.4137135,158.90863
32.233864,7.027436,347.852
25.014578,10.196118,811.7096
24.1175,11.1671505,864.69525
40.092983,6.602083,167.85391
40.6216,5.560755,161.09949
24.670456,10.705968,859.4324
25.26814,10.352725,811.03217
25.179688,10.360138,833.09735
40.216946,6.3902884,166.02753
32.394176,6.781545,340.99344
31.51419,7.93134,365.49017
25.390348,10.238887,832.68634
32.1474,7.1533504,355.90097
31.791172,7.4164567,357.51648
40.289562,6.036576,162.95967
23.71163,11.511395,893.60406
25.491434,10.133836,802.52075
31.396017,7.8792043,368.89523
33.28775,6.7454515,334.67245
24.884796,10.630855,830.0063
40.311226,6.141755,164.82433
25.53431,10.039724,790.4084
31.70381,7.3964005,364.02646
32.54438,6.6892986,333.95187
40.83742,5.449413,158.70709
32.64272,6.945965,339.29004
31.674734,7.9795117,369.5887
40.459064,5.6936584,161.93439
31.897673,7.4885764,361.1785
31.842903,7.0972643,348.1304
24.925505,10.615427,854.83954
24.280878,10.7134905,842.0509
24.568424,11.009338,841.1684
40.861706,5.5414433,158.44884
25.202473,10.373178,833.3546
31.880787,7.2118244,349.48666
32.8927,6.551144,339.23804
40.792797,5.3979,158.48355
23.878864,11.009228,901.21136
24.115023,11.446464,899.1929
24.41829,11.326492,884.0046
24.983093,10.334836,831.5439
23.75074,11.533037,917.726
24.289795,10.628945,847.284
40.968063,5.542583,158.90863
32.893272,6.6713457,333.69888
25.49739,10.15864,819.2058
40.813606,5.637062,158.44884
40.29157,6.263163,167.11337
40.353176,6.291317,166.6935
24.545689,11.350174,856.3368
31.812838,7.588484,358.72723
40.319847,5.952575,162.95967
33.155354,6.5242925,332.2299
25.296398,9.980748,836.0274
32.874237,6.6705256,335.18185
32.10627,7.379737,342.91577
31.74727,7.6308985,362.69522
24.240871,10.762559,844.77057
40.08419,6.349684,164.37291
31.627062,7.3100715,352.435
31.678051,7.8644104,362.94824
24.090017,11.027737,871.9244
40.989185,5.410821,158.44884
40.12505,6.4700465,167.7451
40.274548,6.324218,166.2358
24.325085,10.695726,847.9669
40.30256,6.394921,166.23059
33.291233,6.400222,340.50333
25.72209,10.202318,821.2901
31.856298,7.496146,363.01678
31.72029,7.365389,362.25165
32.0369,7.182379,349.6637
40.310207,5.894479,161.43837
40.352924,6.488326,165.88565
40.96401,5.3627934,158.48355
31.582344,7.4311485,362.9283
40.090923,6.440398,166.8514
32.122414,6.9449444,355.11835
24.264517,11.112192,886.25226
24.096432,11.261654,883.2094
24.315084,10.857985,837.50653
25.669945,9.997198,814.834
25.423792,9.884129,828.5255
31.840788,7.364469,360.4952
24.629778,10.544279,847.7823
23.839125,11.389035,896.9026
40.373196,6.1368823,164.52238
24.520443,10.547455,847.4453
32.333904,7.018188,347.65305
40.892536,5.527962,158.90863
32.816795,6.7674828,337.08997
40.664577,5.5551615,160.65005
32.180096,7.18064,343.8573
24.459707,10.735435,836.6266
31.836132,7.475352,354.1443
32.751736,6.7532873,344.39883
32.021553,7.382469,364.0494
40.899765,5.4107075,158.48355
32.51393,6.7581315,338.94992
24.57816,10.65249,838.5013
31.843903,7.695736,358.0458
32.512527,6.9577646,343.81705
32.919,6.574399,340.03082
32.911335,6.5768685,332.0356
40.65872,5.816177,158.70709
24.501732,10.393431,861.8062
40.26216,6.0811915,163.29855
25.72003,9.8481865,816.0391
40.4556,5.9052744,161.34982
40.793533,5.6438684,158.70709
32.45373,6.75642,343.52255
24.23813,10.674589,840.1704
32.69742,6.5743065,339.80994
32.584423,6.7593675,340.387
40.832195,5.602068,159.1486
31.8998,6.9335423,351.63852
31.490616,7.963102,367.89526
25.745916,10.069747,811.64087
31.740416,7.27951,347.2896
32.50886,6.724222,346.68488
31.679659,7.801043,365.62506
23.657257,11.594457,908.26404
40.92579,5.516054,159.57368
31.92978,7.178085,350.6602
40.34319,6.0288687,162.95967
40.490807,5.835412,162.2599
40.422478,5.998172,162.22433
40.51204,5.676254,161.34982
25.316887,10.3421335,829.68555
40.110435,6.3393297,166.8514
40.218616,6.112469,165.28699
40.319294,6.0732136,163.38475
23.523289,11.91689,920.5466
25.26861,10.186865,848.192
25.992157,9.72559,777.1033
31.65594,7.6874423,366.71356
24.366928,10.695982,867.5871
40.236404,6.490553,166.02753
24.294119,10.884144,881.63965
25.648853,9.888819,801.85205
24.929182,10.634743,825.5699
24.083076,11.430076,880.75275
40.740955,5.6565204,159.57368
40.290894,5.948161,163.38475
31.805956,6.896885,349.50668
24.461168,10.877734,867.78394
40.93412,5.347599,157.78378
31.51216,8.034676,362.6702
25.7195,9.962209,807.5711
25.794579,9.83572,769.0109
32.69631,6.9129767,339.77487
40.170654,6.524198,166.8514
31.897615,7.5861983,358.23392
25.143847,10.162483,832.1949
31.480953,7.460562,357.9835
23.921572,11.4792,907.1286
40.186733,6.39187,166.8514
40.468727,5.785408,162.35947
31.9302,7.2795787,351.2556
40.133587,6.359793,167.19028
40.272087,6.4795995,165.79428
23.805964,11.581774,876.3517
31.60828,7.993127,360.31592
40.578297,5.950255,163.89333
24.147957,10.776555,867.21735
40.221592,6.455116,166.11086
23.77062,11.3719,891.8414
32.664227,6.5388618,340.66968
31.938646,7.4613137,357.2006
31.845003,7.9901614,359.10815
33.050236,6.542837,341.708
31.743097,7.5555897,366.68164
32.201202,6.85674,348.8643
31.638977,7.476655,361.2228
40.55538,5.7016463,162.2599
40.378128,5.8718905,163.25992
40.776703,5.5074863,159.57368
32.568645,6.916606,339.0531
32.043575,7.4916906,348.6655
31.671589,7.135397,359.3397
24.962912,10.365798,841.2717
31.866753,7.5041223,364.82648
40.213856,6.0646706,163.0948
25.655628,9.921572,798.92126
33.465626,6.5375776,332.94745
31.739523,7.45242,364.70596
40.225994,6.3180065,167.11337
32.79437,6.8419113,341.95645
23.722235,11.553705,902.2037
25.408747,10.258505,841.49695
32.039963,7.3048987,352.08936
40.227657,6.143559,166.32362
24.67795,11.197001,885.806
40.115902,6.551828,166.9729
40.326904,6.342731,166.45877
40.220802,6.152088,164.8302
33.174366,6.6585317,334.3673
24.279875,10.849648,848.12256
32.139843,6.970469,345.01636
31.702032,7.269762,354.68326
24.11292,10.994901,870.38324
25.835794,9.956174,844.8152
40.776653,5.7101617,159.57368
24.13702,11.537071,867.3665
24.340105,10.923627,872.28925
40.17358,6.100854,166.8514
40.258568,5.972336,163.0948
24.474277,10.590121,866.37714
40.773216,5.4927907,158.90863
40.49764,5.7197127,162.39503
25.444715,10.395311,818.71094
32.020496,7.542916,357.07538
32.663574,6.5573864,335.83548
40.192074,6.3321605,167.19028
40.370567,5.960409,162.78741
32.963486,6.9550767,330.21475
40.04386,6.1652045,167.7451
40.327587,6.228692,166.02986
31.97339,6.949851,348.11847
40.744297,5.7107167,158.48355
40.335743,6.3391843,165.81248
