accuracy,latency,memory
41.031086,5.708471,151.79863
33.059128,6.6315274,325.96484
41.069416,5.0841246,147.10327
32.75807,7.092839,328.45615
24.497118,10.865862,840.046
32.28328,7.2497916,334.93005
32.736053,6.897694,347.53302
32.200665,7.3207603,356.32028
41.409306,5.2938304,143.4346
33.048397,6.4195347,316.58328
24.633444,10.736413,829.0931
31.715115,7.8225317,361.6731
32.1899,6.9653087,345.66898
32.788776,6.535016,334.99908
32.88581,6.72366,326.5472
40.921875,5.818665,154.25258
24.320652,10.693016,862.1814
40.558678,6.1205835,162.53766
25.984022,9.925388,797.4448
40.623352,5.687691,158.86032
41.008347,5.770852,152.31561
32.4508,6.459449,334.82053
24.391981,10.4795,835.5864
32.857353,6.339099,332.27753
32.64437,6.5943613,338.6391
40.953712,5.6385527,157.13365
32.013535,6.8458886,340.59738
31.215843,8.240933,367.04596
25.689266,10.049108,830.1847
31.994501,7.136579,346.2472
32.311962,6.726456,350.3487
31.547588,8.027511,364.61255
23.069532,11.90236,948.83734
41.023888,5.5627794,151.00381
31.683395,7.2025266,347.85205
40.65497,5.731919,155.11554
40.60205,5.793616,155.18298
40.57714,6.089702,158.5359
41.12703,5.486812,148.67018
24.89652,10.579457,857.9618
40.05858,6.4925203,161.34424
40.632915,5.9216027,155.17433
40.645412,5.766918,148.98547
22.549404,12.342113,961.37274
24.955896,10.120902,855.416
26.24236,9.716234,767.2727
31.624443,7.7094173,372.54562
24.052061,10.856175,882.11255
40.30797,6.601727,165.6142
23.954605,11.002007,877.65924
25.628843,10.148891,813.91345
24.874033,10.4919615,834.54443
23.975452,11.61882,901.4366
40.697342,6.125605,155.51743
40.335136,5.8771157,154.95946
31.873928,6.792128,339.15543
23.651955,11.167837,904.13367
40.927967,5.3405795,152.53035
31.019224,8.336363,374.2503
25.923101,10.189666,785.69653
26.105461,9.712083,771.9462
32.600582,6.9431453,342.7323
40.162487,6.7173095,164.33208
31.724659,7.6161523,357.67075
24.555063,10.696091,855.4871
31.143919,7.54143,363.9468
23.180779,11.747269,946.34796
40.204918,6.3781185,158.41441
40.693665,5.9252563,154.53482
32.346928,7.100928,340.81763
40.05617,6.4697046,165.45502
40.219944,6.664242,167.21481
23.751448,11.720167,909.3083
31.422827,8.370884,367.4865
40.970825,5.9921613,151.92937
23.271223,11.059676,906.1339
40.331886,6.418549,157.51141
23.471622,11.523915,896.34973
33.00825,6.424224,327.55765
31.772757,7.5358615,359.07986
31.569298,8.056573,352.8858
33.409187,6.422195,333.4078
31.466272,7.6345315,363.77878
32.633274,6.494791,333.47824
31.487835,7.7538657,365.61136
40.830967,5.464069,154.22533
40.660675,6.0870285,158.51802
41.141876,5.4214306,149.35616
32.567307,6.900588,339.96555
31.951256,7.5353603,338.06174
31.51153,7.269934,358.51877
25.125893,10.09491,842.87213
31.855154,7.5120344,356.49216
