accuracy,latency,memory
35.01669,8.735695,362.3899
22.015272,15.390541,2258.181
34.95589,8.186117,349.7546
27.344622,10.631301,853.85596
22.05802,15.455316,2259.265
35.06659,8.325723,356.33044
34.893898,8.494476,354.93246
27.39047,10.121675,825.37885
22.244465,14.493811,2171.0107
35.03799,8.603898,362.3899
34.92201,8.767579,360.6286
34.92201,8.444063,355.0437
27.363287,9.834016,823.9477
22.179964,14.966571,2183.118
27.180616,10.774764,876.8775
35.01669,8.373538,356.33044
34.89659,8.551349,356.33044
22.106115,14.4743185,2186.7908
27.217447,10.103238,846.29346
22.100998,14.54706,2175.6445
21.928446,15.0197,2268.903
35.082752,8.1171875,351.1526
34.900837,8.576076,356.33044
21.961771,15.878362,2271.6409
21.899458,14.955704,2248.3447
35.049427,8.096362,351.1526
22.219734,14.53057,2186.196
27.420818,10.128211,825.8147
27.347551,10.175547,834.5557
34.926254,8.886112,362.3899
35.01669,8.309602,354.93246
27.353407,10.144839,830.2127
27.354683,10.025904,830.84045
35.049427,8.068885,351.1526
22.287584,14.870686,2198.667
27.299496,10.703311,861.7861
27.274664,10.7518015,860.6825
34.893898,8.9234915,362.3899
34.888958,8.933997,362.3899
22.046703,15.443048,2296.3486
22.003754,15.593038,2327.8284
27.429369,9.778449,825.1143
21.93034,15.465096,2300.412
22.245226,14.552337,2182.1582
35.02637,8.560119,362.3899
22.216085,14.528946,2151.1304
27.445135,9.850082,822.6284
21.967974,15.422859,2240.3794
34.879536,8.822892,360.6684
34.89659,8.872171,363.63684
22.083578,15.423777,2281.7275
35.048107,8.624682,362.3899
35.03105,8.344591,356.33044
27.287928,10.187714,841.24634
34.889217,8.4571295,353.64572
27.367615,10.0784025,821.72406
27.37472,10.0911045,824.9377
34.904953,8.773605,359.38165
35.033745,8.261277,356.33044
22.311985,14.667214,2163.9834
27.298252,10.102318,842.83856
22.190788,14.876238,2190.5427
22.185246,14.44338,2159.2146
22.131124,14.767055,2174.323
27.318377,10.410041,855.0182
21.97157,15.417168,2243.1096
27.230402,10.207092,840.8986
27.195807,10.891947,874.408
35.033745,8.671458,362.3899
34.900837,8.910253,363.63684
21.972914,15.553956,2314.1235
22.15114,14.367326,2161.696
34.926254,8.91682,363.63684
27.41243,10.094139,823.1464
27.16383,10.609268,865.4315
35.045288,8.362456,356.33044
27.490845,9.850082,822.6372
27.367893,10.527345,857.29517
27.390947,9.76307,822.92615
34.931004,8.4783945,353.64572
27.152342,10.843644,874.44354
35.047672,8.421614,359.38165
34.92519,8.878832,362.3899
34.912273,8.341198,351.1526
27.424599,9.862925,822.1527
35.052353,8.735662,362.3899
34.9152,8.935928,362.3899
27.33251,9.846718,834.5557
34.879536,8.963565,362.3899
21.955349,15.926313,2289.8955
27.240356,10.121675,830.5218
21.94409,15.287363,2239.3384
34.936176,8.322431,351.1526
34.912273,8.310491,351.1526
35.03799,8.679233,362.3899
35.03799,8.531219,360.6684
21.965544,15.353598,2253.604
21.926937,15.073415,2282.3015
27.194094,10.474733,862.2892
27.139357,10.505067,864.8927
35.02637,8.295419,355.0437
27.182959,10.508713,871.42865
27.228157,10.541252,860.54987
27.297709,10.451664,840.34674
27.270084,10.4108925,861.88745
35.06659,8.339691,354.93246
27.425713,10.070772,837.0148
27.324366,10.077185,844.85266
22.14022,14.566336,2222.6853
27.362272,10.088544,823.59106
21.979136,15.292722,2240.0684
35.0511,8.275445,355.0437
35.10193,8.145516,351.1526
27.282938,10.4007435,843.1868
22.326334,14.846998,2151.6208
34.92519,8.556937,356.33044
22.133595,14.8871355,2170.1711
27.263103,10.677477,857.28314
27.217867,10.309249,847.8593
27.252087,10.399745,867.8098
34.95054,8.232837,351.1526
27.159954,10.160701,850.6184
22.07393,14.768609,2217.536
22.315758,14.880253,2160.402
22.048323,15.074395,2257.0364
34.904953,8.540131,355.0437
27.381088,9.799522,830.7961
34.91026,8.954003,362.3899
35.049427,8.010546,351.1526
34.91052,8.513093,355.0437
22.210804,14.874081,2151.0732
22.247284,14.619307,2160.0266
21.972914,15.8956585,2323.5022
34.95589,8.13224,349.7546
34.97594,8.306801,348.46786
27.271854,10.688481,860.0741
27.193617,10.078036,838.39526
34.93525,8.811211,363.63684
21.979136,15.418305,2316.3254
27.169138,10.3249855,841.7362
27.254417,10.032569,844.99115
22.052147,16.107985,2299.8462
34.89659,8.543875,354.93246
35.062344,8.56229,360.6684
27.33444,9.795243,830.0648
35.078026,8.0678625,351.1526
27.18892,10.093415,844.70807
27.284239,10.142852,834.1111
21.87637,15.366973,2256.4885
34.910954,8.563135,354.93246
27.169117,10.762848,863.3988
27.337017,10.141053,827.42914
21.979136,16.114716,2309.5562
27.32162,10.464278,865.85675
22.190788,14.907639,2193.7534
35.049427,8.01956,351.1526
35.043427,8.4805765,360.6286
22.17371,15.302129,2213.593
27.22916,10.329714,840.1895
34.92201,8.748812,360.6286
35.0511,8.323748,355.0437
27.38386,9.834016,825.99536
21.939985,15.381028,2238.1978
34.908134,8.935399,362.3899
22.245226,14.540022,2194.5852
22.080809,15.3323555,2188.6436
27.447,10.875091,863.4204
27.279295,10.320568,844.99115
27.220892,10.207092,846.10077
21.934113,16.160368,2312.106
34.93525,8.510595,355.0437
22.304932,14.744743,2155.038
35.03105,8.37439,356.33044
27.226442,10.857085,878.3122
27.144766,10.241698,847.8593
22.14022,14.946633,2198.5574
27.331839,10.0903425,824.9289
34.888958,8.951625,362.3899
35.03105,8.686541,362.3899
35.093044,8.060755,349.7546
21.9078,14.820371,2245.2427
21.934113,14.921066,2225.4475
34.94153,8.257288,349.7546
34.93525,8.530569,355.0437
35.05911,7.939912,349.86584
27.204449,10.679534,855.42865
27.411802,9.794392,818.9733
